City	State	ST	County	ShapeID	AreaSqMiles	Population	Territory
Hinsdale	Massachusetts	MA	Berkshire	86	46.68	3,032	Terr 1
Housatonic	Massachusetts	MA	Berkshire	87	4.87	1,631	Terr 1
Lanesboro	Massachusetts	MA	Berkshire	88	62.30	2,509	Terr 1
Lee	Massachusetts	MA	Berkshire	89	35.86	6,198	Terr 1
Lenox	Massachusetts	MA	Berkshire	90	21.86	4,818	Terr 1
Lenox Dale	Massachusetts	MA	Berkshire	91	0.51	155	Terr 1
Middlefield	Massachusetts	MA	Hampshire	92	18.66	345	Terr 1
Mill River	Massachusetts	MA	Berkshire	93	2.46	150	Terr 1
Monterey	Massachusetts	MA	Berkshire	94	28.74	726	Terr 1
North Adams	Massachusetts	MA	Berkshire	95	53.12	16,025	Terr 1
Otis	Massachusetts	MA	Berkshire	96	18.70	742	Terr 1
Richmond	Massachusetts	MA	Berkshire	97	14.61	997	Terr 1
Sandisfield	Massachusetts	MA	Berkshire	98	52.97	930	Terr 1
Savoy	Massachusetts	MA	Berkshire	99	36.04	675	Terr 1
Sheffield	Massachusetts	MA	Berkshire	100	37.14	2,183	Terr 1
South Egremont	Massachusetts	MA	Berkshire	101	25.96	304	Terr 1
Southfield	Massachusetts	MA	Berkshire	102	26.08	613	Terr 1
South Lee	Massachusetts	MA	Berkshire	103	2.56	240	Terr 1
Stockbridge	Massachusetts	MA	Berkshire	104	12.84	1,257	Terr 1
Tyringham	Massachusetts	MA	Berkshire	105	11.42	167	Terr 1
West Stockbridge	Massachusetts	MA	Berkshire	106	26.37	1,433	Terr 1
Williamstown	Massachusetts	MA	Berkshire	107	54.71	7,985	Terr 1
Windsor	Massachusetts	MA	Berkshire	108	32.09	806	Terr 1
ZCTA 012XX	Massachusetts	MA	Berkshire	109	13.84	0	Terr 1
Greenfield	Massachusetts	MA	Franklin	110	26.02	17,806	Terr 1
Ashfield	Massachusetts	MA	Franklin	111	33.56	1,540	Terr 1
Athol	Massachusetts	MA	Worcester	112	54.60	13,383	Terr 1
Bernardston	Massachusetts	MA	Franklin	113	37.27	2,609	Terr 1
Buckland	Massachusetts	MA	Franklin	114	3.45	169	Terr 1
Charlemont	Massachusetts	MA	Franklin	115	55.19	1,597	Terr 1
Colrain	Massachusetts	MA	Franklin	116	44.46	1,784	Terr 1
Conway	Massachusetts	MA	Franklin	117	35.90	1,605	Terr 1
Deerfield	Massachusetts	MA	Franklin	118	18.69	1,506	Terr 1
Drury	Massachusetts	MA	Berkshire	119	4.91	76	Terr 1
Erving	Massachusetts	MA	Franklin	120	14.15	1,526	Terr 1
Heath	Massachusetts	MA	Franklin	121	21.03	448	Terr 1
Lake Pleasant	Massachusetts	MA	Franklin	122	0.66	93	Terr 1
Millers Falls	Massachusetts	MA	Franklin	123	7.89	844	Terr 1
Monroe Bridge	Massachusetts	MA	Franklin	124	10.84	117	Terr 1
Montague	Massachusetts	MA	Franklin	125	21.39	2,253	Terr 1
Gill	Massachusetts	MA	Franklin	126	14.76	1,532	Terr 1
New Salem	Massachusetts	MA	Franklin	127	61.15	990	Terr 1
Northfield	Massachusetts	MA	Franklin	128	35.38	3,033	Terr 1
Orange	Massachusetts	MA	Franklin	129	40.35	7,960	Terr 1
Petersham	Massachusetts	MA	Worcester	130	40.96	1,294	Terr 1
Rowe	Massachusetts	MA	Franklin	131	27.21	590	Terr 1
Royalston	Massachusetts	MA	Worcester	132	42.50	1,161	Terr 1
Shelburne Falls	Massachusetts	MA	Franklin	133	50.36	4,113	Terr 1
South Deerfield	Massachusetts	MA	Franklin	134	24.73	4,441	Terr 1
Sunderland	Massachusetts	MA	Franklin	135	14.75	3,692	Terr 1
Turners Falls	Massachusetts	MA	Franklin	136	3.32	5,513	Terr 1
Warwick	Massachusetts	MA	Franklin	137	34.32	639	Terr 1
Wendell	Massachusetts	MA	Franklin	138	30.56	957	Terr 1
ZCTA 013XX	Massachusetts	MA	Worcester	139	30.73	0	Terr 1
ZCTA 013XX_02	Massachusetts	MA	Worcester	140	3.26	0	Terr 1
Fitchburg	Massachusetts	MA	Worcester	141	31.01	40,358	Terr 1
Ashburnham	Massachusetts	MA	Worcester	142	39.61	6,119	Terr 1
Ashby	Massachusetts	MA	Middlesex	143	24.07	3,114	Terr 1
Ayer	Massachusetts	MA	Middlesex	144	8.91	7,061	Terr 1
Devens	Massachusetts	MA	Worcester	145	5.43	1,702	Terr 1
Baldwinville	Massachusetts	MA	Worcester	146	9.80	3,838	Terr 1
East Templeton	Massachusetts	MA	Worcester	147	0.56	359	Terr 1
Gardner	Massachusetts	MA	Worcester	148	25.00	20,388	Terr 1
Groton	Massachusetts	MA	Middlesex	149	33.73	10,842	Terr 1
Harvard	Massachusetts	MA	Worcester	150	19.81	4,964	Terr 1
Hubbardston	Massachusetts	MA	Worcester	151	42.00	4,398	Terr 1
Leominster	Massachusetts	MA	Worcester	152	29.00	41,002	Terr 1
Littleton	Massachusetts	MA	Middlesex	153	17.53	9,038	Terr 1
Lunenburg	Massachusetts	MA	Worcester	154	27.72	10,549	Terr 1
Pepperell	Massachusetts	MA	Middlesex	155	23.23	11,645	Terr 1
Shirley	Massachusetts	MA	Middlesex	156	15.11	7,435	Terr 1
Still River	Massachusetts	MA	Worcester	157	1.91	398	Terr 1
Templeton	Massachusetts	MA	Worcester	158	21.66	3,710	Terr 1
Townsend	Massachusetts	MA	Middlesex	159	23.10	7,044	Terr 1
Westminster	Massachusetts	MA	Worcester	160	37.25	7,320	Terr 1
West Townsend	Massachusetts	MA	Middlesex	161	9.96	1,993	Terr 1
Winchendon	Massachusetts	MA	Worcester	162	43.93	10,386	Terr 1
ZCTA 014XX	Massachusetts	MA	Worcester	163	1.43	0	Terr 1
Auburn	Massachusetts	MA	Worcester	164	16.38	16,089	Terr 1
Berlin	Massachusetts	MA	Worcester	165	13.16	2,886	Terr 1
Blackstone	Massachusetts	MA	Worcester	166	11.40	9,035	Terr 1
Boylston	Massachusetts	MA	Worcester	167	19.76	4,366	Terr 1
Brookfield	Massachusetts	MA	Worcester	168	16.61	3,382	Terr 1
Charlton	Massachusetts	MA	Worcester	169	43.75	13,034	Terr 1
Clinton	Massachusetts	MA	Worcester	170	7.27	13,634	Terr 1
East Brookfield	Massachusetts	MA	Worcester	171	10.39	2,253	Terr 1
Douglas	Massachusetts	MA	Worcester	172	38.35	8,575	Terr 1
Fiskdale	Massachusetts	MA	Worcester	173	9.59	2,689	Terr 1
Grafton	Massachusetts	MA	Worcester	174	11.02	6,514	Terr 1
Holden	Massachusetts	MA	Worcester	175	18.77	14,354	Terr 1
Holland	Massachusetts	MA	Hampden	176	13.10	2,442	Terr 1
Jefferson	Massachusetts	MA	Worcester	177	16.91	3,145	Terr 1
Lancaster	Massachusetts	MA	Worcester	178	25.64	7,680	Terr 1
Leicester	Massachusetts	MA	Worcester	179	16.97	6,940	Terr 1
Linwood	Massachusetts	MA	Worcester	180	0.48	145	Terr 1
Millbury	Massachusetts	MA	Worcester	181	16.30	13,264	Terr 1
Millville	Massachusetts	MA	Worcester	182	4.96	3,197	Terr 1
New Braintree	Massachusetts	MA	Worcester	183	20.97	1,053	Terr 1
Northborough	Massachusetts	MA	Worcester	184	18.75	14,529	Terr 1
Northbridge	Massachusetts	MA	Worcester	185	8.88	5,299	Terr 1
North Brookfield	Massachusetts	MA	Worcester	186	21.99	4,706	Terr 1
North Grafton	Massachusetts	MA	Worcester	187	8.63	7,042	Terr 1
North Oxford	Massachusetts	MA	Worcester	188	7.09	2,458	Terr 1
Oxford	Massachusetts	MA	Worcester	189	20.17	11,148	Terr 1
Princeton	Massachusetts	MA	Worcester	190	35.81	3,424	Terr 1
Rochdale	Massachusetts	MA	Worcester	191	4.19	1,782	Terr 1
Rutland	Massachusetts	MA	Worcester	192	36.28	8,075	Terr 1
Shrewsbury	Massachusetts	MA	Worcester	193	21.77	35,575	Terr 1
Southbridge	Massachusetts	MA	Worcester	194	20.89	16,741	Terr 1
South Grafton	Massachusetts	MA	Worcester	195	3.66	4,531	Terr 1
South Lancaster	Massachusetts	MA	Worcester	196	0.12	174	Terr 1
Spencer	Massachusetts	MA	Worcester	197	33.98	11,733	Terr 1
Sterling	Massachusetts	MA	Worcester	198	31.69	7,839	Terr 1
Sturbridge	Massachusetts	MA	Worcester	199	29.36	6,617	Terr 1
Upton	Massachusetts	MA	Worcester	200	21.68	7,431	Terr 1
Uxbridge	Massachusetts	MA	Worcester	201	29.64	13,559	Terr 1
Webster	Massachusetts	MA	Worcester	202	14.59	16,782	Terr 1
Dudley	Massachusetts	MA	Worcester	203	21.87	11,445	Terr 1
Westborough	Massachusetts	MA	Worcester	204	21.45	18,371	Terr 1
West Boylston	Massachusetts	MA	Worcester	205	13.55	7,698	Terr 1
West Brookfield	Massachusetts	MA	Worcester	206	26.17	4,646	Terr 1
Whitinsville	Massachusetts	MA	Worcester	207	9.25	10,350	Terr 1
Sutton	Massachusetts	MA	Worcester	208	33.63	8,943	Terr 1
Worcester	Massachusetts	MA	Worcester	209	6.02	23,707	Terr 1
Worcester	Massachusetts	MA	Worcester	210	4.64	19,385	Terr 1
Worcester	Massachusetts	MA	Worcester	211	6.63	34,720	Terr 1
Worcester	Massachusetts	MA	Worcester	212	5.78	27,279	Terr 1
Worcester	Massachusetts	MA	Worcester	213	5.92	19,495	Terr 1
Worcester	Massachusetts	MA	Worcester	214	3.21	8,957	Terr 1
Worcester	Massachusetts	MA	Worcester	215	0.44	3,558	Terr 1
Worcester	Massachusetts	MA	Worcester	216	3.85	21,178	Terr 1
